,pl_mass,st_mass,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
801,0.815,1.0,1.911,0.6515554458157894,1.0,6776487238.420875,83033982.51020166,Selsis,-0.34297950012846024,-0.6250270159033181,linear,0.07020864116007779,4.2482469164274863e+20,0.20301001048343936,0.07020864116007779
802,0.815,1.0,1.911,0.9011885204863778,1.0,3767575777.5015364,37525315.95323162,Selsis,-0.3271659348372583,-0.7049690288366134,linear,0.07802738403165323,6.739646003729363e+20,0.6142082889130789,0.07802738403165323
803,0.815,1.0,1.911,0.7961598321616147,1.0,4428939586.028179,59027895.298850454,Selsis,-0.294699159676245,-0.6779184158595584,linear,0.06395861865025211,7.420605252581606e+20,0.263292787942655,0.06395861865025211
804,0.815,1.0,1.911,4.151071935486458,1.0,1304223476.006385,12583160.727181256,Jackson,-0.3388439510473637,-0.641878577124383,log,0.15302249803358822,1.0518083284052038e+19,0.7995782878853885,0.15302249803358822
805,0.815,1.0,1.911,2.5351440255541577,1.0,2596510354.5619693,93694387.7321747,Jackson,-0.4520657325384139,-0.7789887154899424,GP,0.14104710506895413,1.6682586672167165e+17,0.43471724686642443,0.14104710506895413
806,0.815,1.0,1.911,1.6640322297917054,1.0,9521762166.87872,93366646.20139596,Jackson,-0.3320970047170475,-0.7959698575356878,linear,0.17570188943907522,2.2668198108302964e+20,0.564618560936559,0.17570188943907522
807,0.815,1.0,1.911,1.7615785206637893,1.0,5677383445.441197,33290238.238927722,Jackson,-0.3585440111004361,-0.7665167866861434,linear,0.2523239822014797,2.7558058161115595e+20,0.5636568599075228,0.2523239822014797
808,0.815,1.0,1.911,1.2864884665134348,1.0,2539556608.437076,63119124.24240984,Selsis,-0.43873295419114855,-0.6954868315997681,GP,0.11271424117929431,1.0156241154494513e+18,0.4301396876139967,0.11271424117929431
809,0.815,1.0,1.911,2.9804889488246977,1.0,2038064180.1653194,42509780.20635064,Jackson,-0.4593998967672817,-0.6330016752372697,log,0.1658616147142394,3.427755566467961e+18,0.08148258940740627,0.1658616147142394
810,0.815,1.0,1.911,0.6349804305820965,1.0,7295926395.327091,91994589.36962369,Selsis,-0.3387551940376594,-0.7370703060129691,log,0.1118585578437481,1.031504641678274e+19,0.33070690337763264,0.1118585578437481
811,0.815,1.0,1.911,0.971302001208071,1.0,3435466109.056529,24533581.003186848,Selsis,-0.4279129323196644,-0.6863406286727602,GP,0.2614846430256683,2.372004121543094e+18,0.7473848452991524,0.2614846430256683
812,0.815,1.0,1.911,0.9056347925560322,1.0,3743824904.883435,51706156.05978129,Selsis,-0.40136076456168157,-0.6733063958059804,log,0.16160257639572548,1.6828845221288487e+19,0.968184455173847,0.16160257639572548
813,0.815,1.0,1.911,0.9741337322436426,1.0,3424466595.8273,28161266.028188907,Selsis,-0.4259431239765179,-0.6102042225994925,log,0.10962394884704202,2.514627968778088e+19,0.4299045122034181,0.10962394884704202
814,0.815,1.0,1.911,0.718798854147274,1.0,5180129454.508027,19576849.338924672,Selsis,-0.3090737035648282,-0.7065888136415954,GP,0.11343638260770832,2.0820351323456504e+19,0.6767261697205401,0.11343638260770832
