,pl_mass,st_mass,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
798,0.815,1.0,1.911,1.6909131464293172,1.0,8204163624.903789,70383554.49403957,Jackson,-0.31925724485800977,-0.6491406896332039,linear,0.34344339820812564,8.424059014494233e+19,0.40433316531574115,0.34344339820812564
799,0.815,1.0,1.911,3.0191502985549827,1.0,2000156212.789355,15853230.544569926,Jackson,-0.31217987821008236,-0.6250507323644807,log,0.43021470839823517,6.405729780958467e+20,0.2976723549032301,0.43021470839823517
800,0.815,1.0,1.911,2.15589166731641,1.0,3388296561.249846,3829335.648172603,Jackson,-0.46532030933075585,-0.7347165725147904,log,0.3112946663432218,532451682973920.2,0.7559974111095152,0.3112946663432218
801,0.815,1.0,1.911,0.7768934010355117,1.0,4575550781.615123,51705637.5167176,Selsis,-0.37551080015113514,-0.7055676672346889,linear,0.09736856965025803,9.319310999245147e+20,0.7531721177703342,0.09736856965025803
802,0.815,1.0,1.911,1.2198519308302171,1.0,2686064305.2789903,57676307.60239143,Selsis,-0.3026014152132829,-0.6588748218354441,GP,0.4236065286765861,1.5119654452000585e+21,0.6553470086964356,0.4236065286765861
803,0.815,1.0,1.911,1.7355496748680443,1.0,6474272227.176244,60335918.44218799,Jackson,-0.441466306818109,-0.7816888704389173,log,0.13436709822711668,1009054292575062.5,0.6414788954238098,0.13436709822711668
804,0.815,1.0,1.911,1.6946293632569929,1.0,8039215252.433971,83482710.63779196,Jackson,-0.35612704797084493,-0.6371958231768141,GP,0.24647848841831704,1251613001043819.2,0.5030160493498744,0.24647848841831704
805,0.815,1.0,1.911,3.1930765798327574,1.0,1844031358.350652,40254527.97355367,Jackson,-0.28398387729331576,-0.6518615581020829,log,0.11283567329911365,6.83936220129899e+20,0.16026081453031227,0.11283567329911365
806,0.815,1.0,1.911,1.241663030154987,1.0,2636188812.6304717,61987055.94228932,Selsis,-0.38847632760443684,-0.6921822507231828,GP,0.14607882950755294,7.015600259619057e+20,0.6204453286439084,0.14607882950755294
807,0.815,1.0,1.911,2.5542696192757806,1.0,1345465042.5643158,59835817.1822644,Selsis,-0.38493090355356174,-0.6380396279577886,GP,0.4108626871485024,7.950541132186154e+20,0.7998136183042857,0.4108626871485024
808,0.815,1.0,1.911,4.808367193872977,1.0,1087004480.8959846,83280146.2713733,Jackson,-0.3585587237882747,-0.7191500667082769,log,0.05420767402556291,157908076984773.78,0.5805781696637667,0.05420767402556291
809,0.815,1.0,1.911,2.5364175509977964,1.0,2594394838.8240266,16020163.325066946,Jackson,-0.42544673228151453,-0.75596887691481,log,0.23652630869368338,405635464548691.8,0.498299554478263,0.23652630869368338
810,0.815,1.0,1.911,1.761728639474858,1.0,5673126327.543282,65185779.89273927,Jackson,-0.39777985420684137,-0.6055796847356882,log,0.12467487940569794,882253301207072.9,0.025175375622688456,0.12467487940569794
811,0.815,1.0,1.911,0.6858534391207047,1.0,5876685907.082409,36648708.486547895,Selsis,-0.36869229908542056,-0.6023814479647407,log,0.05195065357196251,1.40050989923152e+21,0.03256034118151918,0.05195065357196251
812,0.815,1.0,1.911,1.6629179760446537,1.0,9581492767.154703,13488406.075157452,Jackson,-0.34628334756445556,-0.7933340128988806,linear,0.201032714815947,1.192007513775799e+20,0.9208668193520971,0.201032714815947
813,0.815,1.0,1.911,0.894602215654011,1.0,3803306402.98378,93449328.84745568,Selsis,-0.48365138407527725,-0.7194647034262642,linear,0.32692387806537354,1.2376989685693265e+20,0.1877309730546487,0.32692387806537354
814,0.815,1.0,1.911,0.5791048858630309,1.0,9630881456.711725,82976345.64505614,Selsis,-0.4809870612861487,-0.6501381713212846,GP,0.08476259350064837,2.6281041108828435e+20,0.3247687564785431,0.08476259350064837
815,0.815,1.0,1.911,0.9516044975770009,1.0,3514476769.0951304,4650022.700461233,Selsis,-0.4842321060721377,-0.6187577612975721,log,0.22536008736507396,1.565127195838843e+21,0.7624081153565453,0.22536008736507396
816,0.815,1.0,1.911,2.07888719109869,1.0,3621880310.446605,36008101.6778678,Jackson,-0.3645408861515568,-0.6595567551652748,linear,0.08340592792620444,564137149281715.0,0.9849213885529811,0.08340592792620444
817,0.815,1.0,1.911,0.6982085539706541,1.0,5598721872.251056,58302145.53608263,Selsis,-0.37605212642676267,-0.7465184668627269,log,0.12833833244804624,7.809548947176062e+20,0.24309248072310752,0.12833833244804624
