,st_mass,pl_teff,pl_insol,pl_XUV_flux,pl_orbsmax,st_age,pl_form_yr,x-ray-model,euv_gamma1,euv_gamma2,co2_fit,ch4_eta,C_loss,N2O2_frac,CH4_epsilon
4623,0.2,89.48477157806151,0.010685170596129544,30.324805859929732,0.6690362682869263,2241726752.6318917,66802331.94144114,Selsis,-0.299672391225578,-0.6549820516048934,log,0.07286717596156188,1.5837095868904548e+20,0.4283448831316866,0.07286717596156188
4624,0.2,4382.377946756776,61464.484385817246,30.324805859929732,0.00027895122324811275,1738586033.2946086,6760719.076480688,Jackson,-0.35635769989516236,-0.7060952085050433,linear,0.20822713616638547,1.3995688537019648e+27,0.9558615552271867,0.20822713616638547
4625,0.2,511.43961754915637,11.401510503381461,30.324805859929732,0.020481379077822447,3324580050.3414,9945723.88227991,Selsis,-0.30801400004677265,-0.6053977654949285,linear,0.24158673658777563,7.581466048838346e+23,0.13474755765659685,0.24158673658777563
4626,0.2,301.4389273327304,1.3758854174955237,30.324805859929732,0.05930745073465556,6360326305.691364,11543182.147885827,Jackson,-0.44836787427319835,-0.6663444559213105,log,0.41247456775913444,6.935833232464994e+22,0.07579840161414941,0.41247456775913444
4627,0.2,2556.619968874666,7119.502254813162,30.324805859929732,0.000825244401033853,6608383609.432998,6667238.877682255,Jackson,-0.3964493648761523,-0.7662546077243046,GP,0.2943593766613219,2.6434330704452003e+26,0.6410250563437814,0.2943593766613219
4628,0.2,1268.9649153110306,432.0991222374596,30.324805859929732,0.0033654798989449304,7998722778.380939,46926745.815144256,Jackson,-0.37102505261440366,-0.7824468691976147,log,0.16433993944920036,9.886083548239543e+24,0.27708928043327674,0.16433993944920036
4629,0.2,2705.632800015641,8930.182733853728,30.324805859929732,0.0007318300170435627,1213558603.8490992,1414155.2221864734,Selsis,-0.45969017313302174,-0.7250352839950519,log,0.11728224068144859,7.499663826148588e+25,0.3778657458815772,0.11728224068144859
4630,0.2,138.19139102915918,0.060772748591964194,30.324805859929732,0.2805342894068582,2062042338.431001,20897177.78256698,Selsis,-0.28092459361448613,-0.7854108799761474,GP,0.272040793521462,3.774840805807342e+21,0.7725189875935957,0.272040793521462
4631,0.2,333.74113021202356,2.067396869904403,30.324805859929732,0.04809816018487067,1735147792.3981647,8539864.749227218,Jackson,-0.378411084968612,-0.6912959083391768,linear,0.42489456774342405,8.793558339994177e+22,0.9269593055629254,0.42489456774342405
4632,0.2,171.9359773605111,0.14563037634237525,30.324805859929732,0.181223454898296,1548571814.0668,90986049.19248559,Jackson,-0.3922341074105232,-0.648527132624559,linear,0.15887502336347759,2.015906883656848e+21,0.4710111037770802,0.15887502336347759
4633,0.2,501.0385053880388,10.501935284921133,30.324805859929732,0.021340555631690974,4330102734.252418,12410883.478328943,Selsis,-0.38709266367604567,-0.7060887647466197,GP,0.23903481743311336,4.338406723822314e+23,0.04296221866232819,0.23903481743311336
4634,0.2,1497.0212640861503,836.9447739729139,30.324805859929732,0.0023905178484151636,4945921380.191324,49632429.23047241,Jackson,-0.44442137614712446,-0.7820800726420662,GP,0.385533226843874,3.244416596280357e+25,0.8978433513343411,0.385533226843874
4635,0.2,199.57055384511008,0.2643448021977001,30.324805859929732,0.13562857321017324,7011013727.588375,1646500.6417892717,Jackson,-0.40981571797102323,-0.6673140950981671,linear,0.1173675047823314,4.2528851157989374e+21,0.7388844474972075,0.1173675047823314
4636,0.2,112.6744271675654,0.026858784844983802,30.324805859929732,0.4238348135646838,5977391752.865323,6673262.535501042,Jackson,-0.43373107678216105,-0.7187308077978812,linear,0.06541579025381389,2.0255116015502328e+20,0.7291646257328921,0.06541579025381389
4637,0.2,765.4257477595266,57.20015341196716,30.324805859929732,0.009144117432126675,4202431240.7345023,20585184.01112711,Jackson,-0.4536189737272569,-0.6964364376654281,linear,0.17474180399600336,1.0457571391010037e+24,0.4070146122552204,0.17474180399600336
4638,0.2,192.06750786148845,0.22677779602530318,30.324805859929732,0.14560295711544835,5560373080.982867,36039054.80278643,Jackson,-0.3095841612996874,-0.6729452055264074,GP,0.33838754677344923,1.5864373298641945e+22,0.14594516937931323,0.33838754677344923
4639,0.2,544.4047791612912,14.637693236166932,30.324805859929732,0.01818618890401679,6406907873.1845,44968121.84957439,Jackson,-0.3545345780643683,-0.7507334812363817,log,0.09799383925302317,2.1298349576785668e+23,0.18717071308692446,0.09799383925302317
4640,0.2,167.8734572340493,0.13234668360144863,30.324805859929732,0.19010076303643816,1219058907.0384457,1812130.390980644,Jackson,-0.4040507414953685,-0.6167272835731791,log,0.35793999113997266,4.317057397111038e+21,0.825735495820012,0.35793999113997266
4641,0.2,130.62943913054696,0.04852317092571956,30.324805859929732,0.31395384391056025,1342914745.4024162,1017980.7841024527,Jackson,-0.3400977057409526,-0.6178382228591942,log,0.39475904783728955,2.3093062792737878e+21,0.5295526960779855,0.39475904783728955
4642,0.2,2589.258944287057,7490.087058038113,30.324805859929732,0.0007990923238105024,1562500384.095436,7498894.542640811,Selsis,-0.3890723878245471,-0.706699514770947,linear,0.28472436230357334,2.13590670898092e+26,0.6351032142735092,0.28472436230357334
4643,0.2,199.3273924844997,0.2630588197031732,30.324805859929732,0.13615788094435827,7440593410.452984,1643948.0963158,Selsis,-0.46305692276292065,-0.7144824527534701,GP,0.0675934398201104,2.973177614496013e+21,0.318214396289085,0.0675934398201104
4644,0.2,398.3143788550721,4.194583678407524,30.324805859929732,0.033767270765565204,4646139998.990614,14484520.00930567,Jackson,-0.48749246894306647,-0.7061473182634863,GP,0.3798410364384343,1.6171122590032148e+23,0.380901224729148,0.3798410364384343
4645,0.2,1556.5211685609702,978.1490798731171,30.324805859929732,0.0022112501033614376,1170589574.7973554,48595356.77051405,Jackson,-0.3354848310601892,-0.6295975617510524,linear,0.07078668541022952,7.297310219005128e+24,0.12016820523250182,0.07078668541022952
4646,0.2,4606.07750662415,75008.39821740994,30.324805859929732,0.00025251399095159547,3006790997.0706005,4756309.544009273,Selsis,-0.3737833341040084,-0.6225869945017124,GP,0.34484462038263713,4.713942550761984e+27,0.33880862656962607,0.34484462038263713
4647,0.2,131.05555480412724,0.049159409574809125,30.324805859929732,0.31191557600465436,3013874291.385783,1285649.5499432925,Selsis,-0.4123354149595744,-0.6885969715962348,linear,0.2666257457094399,1.9429962889205766e+21,0.4532245527990313,0.2666257457094399
4648,0.2,88.24523456006901,0.010105317711514853,30.324805859929732,0.6893653714898693,5433263977.20944,1488846.5919754847,Selsis,-0.41343294775819517,-0.7859308528268836,linear,0.1314300258864723,2.2305548304395475e+20,0.8138644986360939,0.1314300258864723
4649,0.2,145.6715273756826,0.07503840953430266,30.324805859929732,0.2524634899126845,4486202634.896962,8921371.782762798,Selsis,-0.38039243273276296,-0.7737471175409124,linear,0.2644090573923741,3.456537860778087e+21,0.2897609816901373,0.2644090573923741
4650,0.2,130.1594369219882,0.047828589082278106,30.324805859929732,0.3162252952828089,1468496256.4092112,84649244.01399252,Selsis,-0.47024202312734076,-0.62138077129266,linear,0.30385406007856813,1.13811715593383e+21,0.30557375573140044,0.30385406007856813
4651,0.2,365.66356619942286,2.9792825090831596,30.324805859929732,0.04006678984514967,4060564569.6015673,15111062.889817666,Jackson,-0.4821161089402872,-0.764538762955653,linear,0.13856742615862466,3.8917822206750484e+22,0.6661935419253089,0.13856742615862466
4652,0.2,1681.5034772869988,1332.2201681400168,30.324805859929732,0.0018947520672104132,3288051246.800418,91425639.62903951,Selsis,-0.33898767217893805,-0.7471930696975192,linear,0.2615451458180512,6.171061836253408e+25,0.9397196818566422,0.2615451458180512
4653,0.2,1318.3151453004627,503.3405169275768,30.324805859929732,0.0030825451483263047,3867445278.1525874,1630798.5510277187,Selsis,-0.3256114422213299,-0.6903510589535079,GP,0.14864986851370893,1.7976810361055785e+25,0.7533621723746041,0.14864986851370893
4654,0.2,469.9179546299654,8.125930068639825,30.324805859929732,0.024260729261876796,3635344409.9170666,68040483.76902334,Jackson,-0.29738378582305847,-0.7730762962008119,GP,0.09680491313407195,1.4804414231267307e+23,0.8400953245636605,0.09680491313407195
4655,0.2,751.3782718770591,53.11527734074772,30.324805859929732,0.009489223262572842,2862387563.757893,32209428.124569386,Jackson,-0.4118044026194754,-0.7666864542732732,log,0.35616010382090196,1.8455749417663195e+24,0.08905433504974025,0.35616010382090196
4656,0.2,1080.6599553792496,227.26950169215627,30.324805859929732,0.006573482613895366,62727190.26930135,61727190.26930135,Selsis,-0.31826565714724464,-0.7067087411691498,GP,0.308639668206637,5.775849761313581e+21,0.007594412232542758,0.308639668206637
4657,0.2,104.93773497180356,0.02020745725292067,30.324805859929732,0.4885352283726844,5928102372.505848,13275680.298398755,Selsis,-0.47038875404675584,-0.777730881447585,log,0.06379307339064812,1.8762345888261272e+20,0.05305910928268809,0.06379307339064812
4658,0.2,1442.2448062454398,721.0092886336155,30.324805859929732,0.002594123799865952,6704570121.302086,19973841.923912793,Jackson,-0.4792685672071877,-0.7870599879042725,linear,0.06784594328993036,4.955306513339215e+24,0.8422714896934789,0.06784594328993036
4659,0.2,1231.9191239090273,383.80772663414166,30.324805859929732,0.003543937687660476,5867790325.102255,2671562.7174657197,Selsis,-0.29439710368944055,-0.7697709782300208,linear,0.45364777622724156,5.786812689300976e+25,0.26411145918671963,0.45364777622724156
4660,0.2,1280.6215209994084,448.1961366563017,30.324805859929732,0.0032666780716606295,4377216423.756515,2776568.464750896,Jackson,-0.40280363529980534,-0.6833097893877439,linear,0.06722302934431196,3.715817884829379e+24,0.4412662607016362,0.06722302934431196
4661,0.2,1213.32262461449,361.15207011233844,30.324805859929732,0.0036391112906091288,338466668.62072194,8914135.645513728,Jackson,-0.43696549613373836,-0.7239388611409888,GP,0.24623560626436025,2.484337154445973e+24,0.8086218813577973,0.24623560626436025
4662,0.2,2617.2618071148067,7819.402985680166,30.324805859929732,0.0007820843468017572,2706928597.9928427,23129603.137246635,Selsis,-0.35067278473864627,-0.6300830701262333,GP,0.05276861046136388,7.414943827992311e+25,0.514397251490634,0.05276861046136388
